date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:52	14324/14324	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Nov%202015%2020:07:10%20GMT	http://69.73.184.155/~isoft/ArtBrowser/website8/index.php	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/index.html	(from )
01:36:53	1005/1005	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202015%2020:07:10%20GMT	http://69.73.184.155/robots.txt		(from )
01:36:53	60945/60945	---M-Z	200	added ('OK')	text/css	etag:%222e62af7-ee11-524ac23412500%22	http://69.73.184.155/~isoft/ArtBrowser/website8/css/timber.css	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/css/timber.css	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:53	22854/22854	---M-Z	200	added ('OK')	text/css	etag:%222e62af6-5946-522fd089b0280%22	http://69.73.184.155/~isoft/ArtBrowser/website8/css/theme.css	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/css/theme.css	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:54	3539/3539	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c8b-dd3-520a6d07bfd80%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/modernizr.min.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/modernizr.min.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:55	9658/9658	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Nov%202015%2020:07:12%20GMT	http://69.73.184.155/~isoft/ArtBrowser/website8/about.php	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/about.html	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:55	96382/96382	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c8a-1787e-520c66a80e980%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/jquery.min.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/jquery.min.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:55	15020/15020	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Nov%202015%2020:07:13%20GMT	http://69.73.184.155/~isoft/ArtBrowser/website8/join.php	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/join.html	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:56	9223/9223	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Nov%202015%2020:07:13%20GMT	http://69.73.184.155/~isoft/ArtBrowser/website8/login.php	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/login.html	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:56	18325/18325	---M--	200	added ('OK')	image/png	etag:%222f23c7f-4795-523168e777780%22	http://69.73.184.155/~isoft/ArtBrowser/website8/images/logo.png	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/images/logo.png	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:58	11120/11120	---M--	200	added ('OK')	image/jpeg	etag:%222d21d93-2b70-523024186c221%22	http://69.73.184.155/~isoft/ArtBrowser/website1/images/Gall1.jpg	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website1/images/Gall1.jpg	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:36:58	11022/11022	---M--	200	added ('OK')	image/jpeg	etag:%222d21d94-2b0e-5230258291d98%22	http://69.73.184.155/~isoft/ArtBrowser/website1/images/Gall2.jpg	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website1/images/Gall2.jpg	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:00	17677/17677	---M--	200	added ('OK')	image/jpeg	etag:%222d21d92-450d-523021876a0a9%22	http://69.73.184.155/~isoft/ArtBrowser/website1/images/Gall.jpg	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website1/images/Gall.jpg	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:02	22517/22517	---M--	200	added ('OK')	image/jpeg	etag:%222d21d95-57f5-523026d2e0d20%22	http://69.73.184.155/~isoft/ArtBrowser/website1/images/Gall3.jpg	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website1/images/Gall3.jpg	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:04	33782/33782	---M--	200	added ('OK')	image/jpeg	etag:%222d21d96-83f6-523027bf74c90%22	http://69.73.184.155/~isoft/ArtBrowser/website1/images/Gall4.jpg	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website1/images/Gall4.jpg	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:05	32707/32707	---M--	200	added ('OK')	image/jpeg	etag:%222d21d97-7fc3-523028bc9e1c8%22	http://69.73.184.155/~isoft/ArtBrowser/website1/images/Gall5.jpg	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website1/images/Gall5.jpg	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:05	6361/6361	---M--	200	added ('OK')	image/png	etag:%222f10858d707407f277cb48272c568e39%22	http://d3t95n9c6zzriw.cloudfront.net/covers/landing/mobile/cta_app_store.png	C:/My%20Web%20Sites/ArtBrowser5/d3t95n9c6zzriw.cloudfront.net/covers/landing/mobile/cta_app_store.png	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:07	937/937	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c8c-3a9-520a969508600%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/slider.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/slider.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:07	21638/21638	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c89-5486-520a969508600%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/jquery.flexslider.min.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/jquery.flexslider.min.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:08	13283/13283	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c87-33e3-520b25f7f5080%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/fastclick.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/fastclick.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:08	6990/6990	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c8f-1b4e-520a6d09a8200%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/timber.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/timber.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:08	4562/4562	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c8d-11d2-520a6d09a8200%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/theme.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/theme.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:09	1075/1075	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2017%20Nov%202015%2020:07:26%20GMT	http://69.73.184.155/~isoft/ArtBrowser/website8/css/%c3%a2%c2%80%c2%98../assets/BrandonGrotesque/brandon_med-webfont.eot%c3%a2%c2%80%c2%99	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/css/%c3%a2%c2%80%c2%98/assets/BrandonGrotesque/brandon_med-webfont.eot%c3%a2%c2%80%c2%99	(from http://69.73.184.155/~isoft/ArtBrowser/website8/css/timber.css)
01:37:10	45937/45937	---M-Z	200	added ('OK')	application/javascript	etag:%222f23c88-b371-520a969508600%22	http://69.73.184.155/~isoft/ArtBrowser/website8/js/handlebars.min.js	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/js/handlebars.min.js	(from http://69.73.184.155/~isoft/ArtBrowser/website8/index.php)
01:37:14	29548/29548	---M-Z	200	added ('OK')	application/x-font-woff	etag:%222e62aed-736c-5235161577d00%22	http://69.73.184.155/~isoft/ArtBrowser/website8/assets/BrandonGrotesque/brandon_med-webfont.woff	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/assets/BrandonGrotesque/brandon_med-webfont.woff	(from http://69.73.184.155/~isoft/ArtBrowser/website8/css/timber.css)
01:37:14	2124/2124	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202015%2020:07:32%20GMT	http://69.73.184.155/~isoft/ArtBrowser/website8/assets/BrandonGrotesque/brandon_med-webfont.svg	C:/My%20Web%20Sites/ArtBrowser5/69.73.184.155/_isoft/ArtBrowser/website8/assets/BrandonGrotesque/brandon_med-webfont.1b.delayed	(from http://69.73.184.155/~isoft/ArtBrowser/website8/css/timber.css)
